Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila melanogaster,17
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Gorilla-Gorilla gorilla,8
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Phoridae-Megaselia-Megaselia scalaris,9
Eukaryota-Metazoa-Arthropoda-Arachnida-Ixodida-Ixodidae-Ixodes-Ixodes scapularis,4
Eukaryota-Metazoa-Chordata-Actinopteri-Tetraodontiformes-Tetraodontidae-Tetraodon-Tetraodon nigroviridis,1
Eukaryota-Fungi-Ascomycota-Leotiomycetes-no order-Pseudeurotiaceae-Pseudogymnoascus-Pseudogymnoascus pannorum,3
Eukaryota-Fungi-Ascomycota-Dothideomycetes-Pleosporales-Leptosphaeriaceae-Leptosphaeria-Leptosphaeria maculans,1
Eukaryota-Metazoa-Chordata-Mammalia-no order-Camelidae-Camelus-Camelus ferus,9
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Homo-Homo sapiens,13
Eukaryota-Metazoa-Chordata-Amphibia-Anura-Pipidae-Xenopus-Xenopus tropicalis,1
Eukaryota-Metazoa-Arthropoda-Insecta-Phthiraptera-Pediculidae-Pediculus-Pediculus humanus,1
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Acromyrmex-Acromyrmex echinatior,2
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Culicidae-Culex-Culex quinquefasciatus,8
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Lasius-Lasius niger,1
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila willistoni,13
Eukaryota-Metazoa-Chordata-Mammalia-Chiroptera-Vespertilionidae-Myotis-Myotis davidii,4
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Apidae-Apis-Apis mellifera,2
Eukaryota-Metazoa-Chordata-Aves-Galliformes-Phasianidae-Meleagris-Meleagris gallopavo,1
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Hominidae-Pongo-Pongo abelii,7
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Cercopithecidae-Chlorocebus-Chlorocebus sabaeus,6
Eukaryota-Metazoa-Chordata-Actinopteri-Cyprinodontiformes-Poeciliidae-Poecilia-Poecilia formosa,6
Eukaryota-Metazoa-Chordata-Actinopteri-Cypriniformes-Cyprinidae-Danio-Danio rerio,1
Eukaryota-Metazoa-Chordata-no classes-no order-Branchiostomidae-Branchiostoma-Branchiostoma floridae,2
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Sciuridae-Ictidomys-Ictidomys tridecemlineatus,7
Eukaryota-Metazoa-Chordata-no classes-Coelacanthiformes-Coelacanthidae-Latimeria-Latimeria chalumnae,3
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Cercopithecidae-Macaca-Macaca fascicularis,5
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Cricetidae-Cricetulus-Cricetulus griseus,9
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Cercopithecidae-Macaca-Macaca mulatta,9
Eukaryota-Metazoa-Chordata-Mammalia-Scandentia-Tupaiidae-Tupaia-Tupaia chinensis,10
Eukaryota-Metazoa-Chordata-Actinopteri-Cichliformes-Cichlidae-Oreochromis-Oreochromis niloticus,3
Eukaryota-Metazoa-Chordata-Mammalia-Rodentia-Muridae-Rattus-Rattus norvegicus,13
Eukaryota-Metazoa-Chordata-Mammalia-Didelphimorphia-Didelphidae-Monodelphis-Monodelphis domestica,5
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Formicidae-Atta-Atta cephalotes,2
Eukaryota-Metazoa-Chordata-Mammalia-no order-Bovidae-Bos-Bos taurus,24
Eukaryota-Metazoa-Arthropoda-Insecta-Hymenoptera-Pteromalidae-Nasonia-Nasonia vitripennis,1
Eukaryota-Metazoa-Arthropoda-Insecta-Diptera-Drosophilidae-Drosophila-Drosophila mojavensis,14
Eukaryota-Metazoa-Chordata-Mammalia-Carnivora-Felidae-Felis-Felis catus,6
Eukaryota-Metazoa-Arthropoda-Insecta-Lepidoptera-Geometridae-Operophtera-Operophtera brumata,4
Eukaryota-Metazoa-Chordata-Actinopteri-Cyprinodontiformes-Poeciliidae-Xiphophorus-Xiphophorus maculatus,2
Eukaryota-Metazoa-Chordata-Aves-Passeriformes-Muscicapidae-Ficedula-Ficedula albicollis,1
Eukaryota-Metazoa-Chordata-Mammalia-Primates-Cercopithecidae-Papio-Papio anubis,6
