PROTEIN_SEQUENCE	Comm1 (6)	Comm2 (2)
PA2GA_HUMAN/21-140	12.733334 (6)	10.500000 (2)
PA23_OPHHA/28-151	12.733334 (6)	10.500000 (2)
H3IY32_STRPU/32-159	12.733334 (6)	0.000000 (0)
Q6H3C9_VIRST/17-138	12.733334 (6)	10.500000 (2)
C3YGY4_BRAFL/5-112	12.733334 (6)	0.000000 (1)
G1T1K5_RABIT/21-143	12.733334 (6)	0.000000 (0)
A6MFN0_RHING/28-145	12.733334 (6)	10.500000 (2)
H3IBX3_STRPU/24-158	3.866667 (3)	0.000000 (1)
A7S5K1_NEMVE/16-138	12.733334 (6)	10.500000 (2)
Q4VRI8_OXYSC/28-144	12.733334 (6)	10.500000 (2)
E4XTU5_OIKDI/39-179	0.000000 (1)	0.000000 (0)
Q45Z24_PSEAU/28-144	12.733334 (6)	10.500000 (2)
E4XTT7_OIKDI/80-221	0.000000 (1)	0.000000 (0)
Q45Z15_PSEPO/28-144	12.733334 (6)	10.500000 (2)
Q45Z12_PSEPO/28-144	12.733334 (6)	10.500000 (2)
Q6A3H5_VIPAS/17-138	12.733334 (6)	10.500000 (2)
G1N1R0_MELGA/17-141	12.733334 (6)	0.000000 (1)
Q5BK35_RAT/20-142	12.733334 (6)	0.000000 (0)
Q7T1C6_VIPAP/17-138	12.733334 (6)	10.500000 (2)
PA2_CONGI/1-119	12.733334 (6)	10.500000 (2)
PA26_AUSSU/28-146	12.733334 (6)	10.500000 (2)
F7E598_ORNAN/21-145	12.733334 (6)	10.500000 (2)
PA22_TRIGA/1-122	12.733334 (6)	10.500000 (2)
E4WSP7_OIKDI/32-171	0.000000 (1)	0.000000 (1)
A8S6C5_AUSSU/28-145	12.733334 (6)	10.500000 (2)
Q4QT03_BITAR/17-138	12.733334 (6)	10.500000 (2)
PA2A_CALRH/4-124	12.733334 (6)	10.500000 (2)
H9ILP7_ATTCE/9-129	9.900000 (5)	0.000000 (0)
Q86DU7_POLMI/38-167	12.733334 (6)	0.000000 (0)
B0LSG6_SISMI/17-138	7.666667 (5)	10.500000 (2)
PA2H_BOTSC/17-137	7.733333 (5)	0.000000 (1)
A6MFM4_DEMVE/28-146	12.733334 (6)	10.500000 (2)
F7G3C2_ORNAN/78-193	3.866667 (3)	0.000000 (1)
A3FM54_LAPHA/28-145	12.733334 (6)	10.500000 (2)
Q6A3N9_VIPAP/17-138	8.833333 (5)	10.500000 (2)
PA21B_LATLA/28-144	12.733334 (6)	10.500000 (2)
F6QU92_MACMU/12-132	12.733334 (6)	0.000000 (0)
Q6H3C7_VIRST/17-136	12.733334 (6)	10.500000 (2)
PA2C_PSETE/1-117	12.733334 (6)	0.000000 (1)
B7PVR0_IXOSC/49-170	9.900000 (5)	0.000000 (0)
PA2I_LATSE/28-151	12.733334 (6)	10.500000 (2)
I0BWR8_DISTY/24-143	12.733334 (6)	10.500000 (2)
Q6H3D2_VIRST/17-138	3.800000 (4)	0.000000 (0)
A6MJG8_HOPST/28-144	7.733333 (5)	10.500000 (2)
PA26_BUNFA/18-134	12.733334 (6)	10.500000 (2)
PA22_NAJSG/8-125	12.733334 (6)	10.500000 (2)
H2S2R1_TAKRU/225-331	6.000000 (4)	0.000000 (0)
Q6DQ97_RAT/22-146	12.733334 (6)	10.500000 (2)
PA215_CRODU/1-122	12.733334 (6)	10.500000 (2)
F1QH90_DANRE/736-853	3.400000 (3)	0.000000 (0)
G5C4W1_HETGA/27-145	12.733334 (6)	0.000000 (1)
Q6A3E3_VIPAP/17-137	12.733334 (6)	10.500000 (2)
E4XEF5_OIKDI/34-165	0.000000 (0)	0.000000 (0)
D2H282_AILME/10-131	12.733334 (6)	0.000000 (1)
Q7T3S7_ECHCA/17-136	12.733334 (6)	10.500000 (2)
A8KBP6_DANRE/29-150	12.733334 (6)	10.500000 (2)
Q6A390_VIPBB/17-138	7.733333 (5)	10.500000 (2)
PA22_NAJMO/1-117	12.733334 (6)	10.500000 (2)
A8S6C2_AUSSU/28-145	12.733334 (6)	10.500000 (2)
F1RRT8_PIG/309-422	6.000000 (4)	0.000000 (1)
B3M1H9_DROAN/235-356	12.733334 (6)	0.000000 (1)
Q6A364_VIPAP/17-138	12.733334 (6)	10.500000 (2)
C3YLK8_BRAFL/1-106	12.733334 (6)	10.500000 (2)
F6URD6_CIOIN/28-155	12.733334 (6)	10.500000 (2)
H2MVY0_ORYLA/24-148	12.733334 (6)	10.500000 (2)
H1A002_TAEGU/7-125	12.733334 (6)	10.500000 (2)
PA22_PROMU/17-135	12.733334 (6)	10.500000 (2)
PA23_BUNCE/20-136	12.733334 (6)	10.500000 (2)
G1NJJ9_MELGA/291-412	6.000000 (4)	0.000000 (1)
PA2P_PROFL/17-138	12.733334 (6)	10.500000 (2)
PA2E_LATSE/28-144	12.733334 (6)	10.500000 (2)
E4YMB0_OIKDI/83-221	0.000000 (1)	0.000000 (0)
PA26_LATCO/28-144	9.033334 (5)	10.500000 (2)
PA2H_ZHAMA/1-121	7.733333 (5)	0.000000 (0)
H0WKR6_OTOGA/21-138	12.733334 (6)	0.000000 (1)
G1SRA2_RABIT/21-141	12.733334 (6)	10.500000 (2)
G3SLK1_LOXAF/21-136	12.733334 (6)	10.500000 (2)
B0LSF6_9SAUR/17-138	12.733334 (6)	10.500000 (2)
G3I6R9_CRIGR/1-118	4.700000 (4)	10.500000 (2)
G3Q2F5_GASAC/26-150	12.733334 (6)	10.500000 (2)
B0LSG3_SISCA/17-136	12.733334 (6)	10.500000 (2)
F6XLG8_MACMU/21-141	12.733334 (6)	0.000000 (0)
F1NII2_CHICK/32-150	12.733334 (6)	10.500000 (2)
F6V4W4_ORNAN/26-146	12.733334 (6)	10.500000 (2)
F5CPE9_MICAT/28-145	12.733334 (6)	10.500000 (2)
Q45Z42_OXYMI/28-145	12.733334 (6)	10.500000 (2)
PA21B_NAJMO/1-117	12.733334 (6)	10.500000 (2)
I0BWS0_LEIMD/23-138	12.733334 (6)	10.500000 (2)
H3BIC9_LATCH/28-150	12.733334 (6)	0.000000 (0)
G3PGI7_GASAC/25-147	12.733334 (6)	10.500000 (2)
F7B5Z4_CIOIN/76-198	12.733334 (6)	0.000000 (0)
G1Q7T3_MYOLU/21-144	12.733334 (6)	10.500000 (2)
Q6T5K9_GLOSH/1-122	12.733334 (6)	10.500000 (2)
E1BEG8_BOVIN/21-137	12.733334 (6)	0.000000 (1)
Q45Z44_OXYMI/28-145	12.733334 (6)	10.500000 (2)
H3J7W4_STRPU/38-161	12.733334 (6)	10.500000 (2)
A7S6H4_NEMVE/5-122	12.733334 (6)	10.500000 (2)
PA21B_PIG/23-146	12.733334 (6)	10.500000 (2)
D0UGJ0_BOTPA/17-138	7.766667 (5)	0.000000 (1)
