PROTEIN_SEQUENCE	Comm1 (26)	Comm2 (8)	Comm3 (4)
PPAC_HUMAN/9-154	39.775383 (25)	0.000000 (0)	0.000000 (1)
E9ZM80_MYCTU/367-488	0.644615 (6)	39.035713 (4)	117.500000 (4)
Q0TSV5_CLOP1/4-124	0.786154 (7)	47.857143 (5)	65.833336 (3)
Q8I1C3_DROPS/6-152	17.907692 (17)	0.000000 (0)	0.000000 (1)
D0AEE3_ENTFC/4-134	2.206154 (9)	108.482140 (7)	117.500000 (4)
B5PB70_SALET/5-139	7.612308 (15)	0.000000 (1)	0.000000 (0)
D2N945_STAA5/3-135	4.330769 (12)	0.000000 (0)	0.000000 (0)
C9K1A0_KLEPN/5-139	10.569231 (16)	0.000000 (0)	0.000000 (0)
F9MWJ7_9FIRM/6-128	1.380000 (9)	47.857143 (5)	0.000000 (1)
H1PM00_9FIRM/4-149	19.087692 (18)	0.000000 (0)	0.000000 (0)
H2AFG3_BACAM/3-142	2.578462 (10)	0.000000 (0)	0.000000 (1)
H6LLB2_STAAU/4-142	15.783077 (17)	0.000000 (0)	0.000000 (0)
B3JHD6_9BACE/4-149	34.664616 (23)	0.000000 (0)	0.000000 (0)
D7V0S9_LISGR/4-145	30.826155 (22)	0.000000 (0)	0.000000 (0)
ARSC_BREBN/7-130	1.201538 (7)	84.446426 (6)	65.833336 (3)
B7M8W3_ECO8A/9-143	7.307693 (14)	0.000000 (0)	0.000000 (0)
C6W358_DYAFD/4-131	0.755385 (6)	64.571426 (5)	117.500000 (4)
A0Q308_CLONN/3-141	3.781538 (12)	0.000000 (1)	0.000000 (0)
E6QJN5_9ZZZZ/6-136	1.538462 (8)	131.732147 (8)	0.000000 (0)
Q9M1P2_ARATH/17-170	38.263077 (24)	0.000000 (0)	0.000000 (0)
C5QAY6_STAEP/6-129	1.201538 (7)	108.482140 (7)	65.833336 (3)
H0US01_9BACT/7-140	0.606154 (6)	98.392860 (7)	117.500000 (4)
Q11RJ3_CYTH3/6-151	39.556923 (24)	0.000000 (0)	0.000000 (0)
C2NCH6_BACCE/13-154	31.621538 (22)	0.000000 (0)	0.000000 (0)
F9I9Y0_ACIBA/6-139	10.658462 (16)	0.000000 (0)	0.000000 (1)
D4E8R9_SEROD/5-139	10.658462 (16)	0.000000 (1)	0.000000 (0)
D1BN19_VEIPT/3-141	5.953846 (13)	0.000000 (0)	0.000000 (0)
F7JLJ5_9FIRM/6-127	1.024615 (8)	47.857143 (5)	22.000000 (2)
A6U5Y9_SINMW/15-145	1.098462 (7)	3.428571 (2)	24.000000 (2)
A6TK49_ALKMQ/4-148	2.144615 (9)	0.000000 (0)	13.416667 (2)
E6TAM6_MYCSR/5-168	7.266154 (14)	0.000000 (0)	0.000000 (0)
H3T023_PSEAE/3-147	42.972309 (25)	0.000000 (0)	0.000000 (0)
C7VQB0_ENTFL/4-147	24.050770 (20)	0.000000 (0)	0.000000 (0)
C5QCY1_STAEP/3-135	6.892308 (14)	0.000000 (0)	0.000000 (0)
Q26GB7_FLABB/4-131	0.307692 (4)	0.000000 (0)	65.833336 (3)
D6XVI6_BACIE/4-147	20.653847 (18)	0.000000 (0)	0.000000 (1)
A8EW34_ARCB4/4-125	1.480000 (8)	81.928574 (6)	0.000000 (0)
D7HKS1_VIBCL/4-146	44.135384 (25)	0.000000 (0)	0.000000 (0)
Q82TT5_NITEU/11-157	46.073845 (26)	0.000000 (0)	0.000000 (0)
F9EY22_9NEIS/6-148	22.949230 (19)	0.000000 (0)	0.000000 (0)
A3SYX6_9RHOB/9-146	1.098462 (7)	0.000000 (1)	24.000000 (2)
G2EKX4_CORGT/4-127	0.586154 (5)	9.321428 (3)	62.583332 (3)
D0S364_ACICA/3-134	1.201538 (7)	131.732147 (8)	0.000000 (0)
I0UT82_9MICC/479-643	2.164615 (9)	0.000000 (1)	0.000000 (1)
B9BY82_9BURK/5-140	8.896923 (15)	0.000000 (0)	0.000000 (0)
A8YDW5_MICAE/5-150	46.073845 (26)	0.000000 (0)	0.000000 (0)
B1ZJD3_METPB/19-155	0.895385 (7)	3.428571 (2)	24.000000 (2)
H7RBQ6_CAMCO/4-146	14.083076 (16)	0.000000 (1)	0.000000 (0)
H0DZW3_9ACTN/4-124	0.800000 (7)	39.035713 (4)	117.500000 (4)
F0REP5_CELLC/4-145	42.972309 (25)	0.000000 (0)	0.000000 (0)
E9J8K3_SOLIN/203-343	20.093845 (18)	0.000000 (1)	0.000000 (0)
D5H731_SALRM/7-153	24.949230 (21)	0.000000 (0)	0.000000 (0)
D5VM79_CAUST/6-149	44.135384 (25)	0.000000 (0)	0.000000 (0)
A9B833_HERA2/117-245	0.476923 (4)	131.732147 (8)	0.000000 (1)
Q0ICW1_SYNS3/5-152	41.256924 (25)	0.000000 (0)	0.000000 (0)
E9SJL7_CLOSY/11-152	11.892307 (16)	0.000000 (0)	0.000000 (0)
G8AEI1_AZOBR/4-149	40.099998 (25)	0.000000 (0)	0.000000 (0)
G8M127_CLOCD/5-125	1.158462 (8)	47.857143 (5)	117.500000 (4)
F1YGZ4_9ACTO/5-128	0.535385 (5)	3.428571 (2)	24.000000 (2)
F5LUP7_GARVA/17-171	12.416924 (17)	0.000000 (0)	0.000000 (0)
D5GPH3_TUBMM/24-168	46.073845 (26)	0.000000 (0)	0.000000 (0)
Q4FU01_PSYA2/6-139	10.978461 (16)	0.000000 (1)	0.000000 (1)
G6USJ0_STRPN/4-135	16.024616 (17)	0.000000 (0)	0.000000 (0)
E8WT10_GEOS8/41-175	3.980000 (12)	0.000000 (0)	0.000000 (1)
C8ZJ98_YEAS8/10-157	25.047693 (20)	0.000000 (1)	0.000000 (0)
F3M5B4_9BACL/4-186	2.946154 (10)	0.000000 (1)	0.000000 (0)
Q8GMS9_SYNE7/31-176	46.073845 (26)	0.000000 (0)	0.000000 (1)
C8WUT3_ALIAD/4-145	29.006153 (21)	0.000000 (0)	0.000000 (0)
B2VFN9_ERWT9/5-139	9.310769 (15)	0.000000 (1)	0.000000 (0)
Q0HUF1_SHESR/16-158	44.135384 (25)	0.000000 (0)	0.000000 (0)
G6X1F7_MYCAB/7-128	0.476923 (5)	54.071430 (5)	117.500000 (4)
